StateFIPS,State,CountyFIPS,County,Year,Value,Data Comment,FIPS
04,Arizona,04001,Apache,2022,1.6,Unstable,044001
04,Arizona,04003,Cochise,2022,5.1,,044003
04,Arizona,04005,Coconino,2022,2.9,,044005
04,Arizona,04007,Gila,2022,1.8,Unstable,044007
04,Arizona,04009,Graham,2022,Suppressed,Unstable,044009
04,Arizona,04011,Greenlee,2022,0,,044011
04,Arizona,04012,La Paz,2022,Suppressed,Unstable,044012
04,Arizona,04013,Maricopa,2022,3.4,,044013
04,Arizona,04015,Mohave,2022,1.6,,044015
04,Arizona,04017,Navajo,2022,5,,044017
04,Arizona,04019,Pima,2022,5.6,,044019
04,Arizona,04021,Pinal,2022,4.1,,044021
04,Arizona,04023,Santa Cruz,2022,2.4,,044023
04,Arizona,04025,Yavapai,2022,3.8,,044025
04,Arizona,04027,Yuma,2022,1.4,,044027
12,Florida,12001,Alachua,2022,9.4,,1212001
12,Florida,12003,Baker,2022,3.2,Unstable,1212003
12,Florida,12005,Bay,2022,3.2,,1212005
12,Florida,12007,Bradford,2022,6.2,,1212007
12,Florida,12009,Brevard,2022,3.6,,1212009
12,Florida,12011,Broward,2022,5.5,,1212011
12,Florida,12013,Calhoun,2022,Suppressed,Unstable,1212013
12,Florida,12015,Charlotte,2022,3.7,,1212015
12,Florida,12017,Citrus,2022,2.3,,1212017
12,Florida,12019,Clay,2022,3.3,,1212019
12,Florida,12021,Collier,2022,3.8,,1212021
12,Florida,12023,Columbia,2022,5.3,,1212023
12,Florida,12027,DeSoto,2022,4.2,,1212027
12,Florida,12029,Dixie,2022,3.2,Unstable,1212029
12,Florida,12031,Duval,2022,4.7,,1212031
12,Florida,12033,Escambia,2022,4.4,,1212033
12,Florida,12035,Flagler,2022,3.2,,1212035
12,Florida,12037,Franklin,2022,0,,1212037
12,Florida,12039,Gadsden,2022,2.1,Unstable,1212039
12,Florida,12041,Gilchrist,2022,4.5,Unstable,1212041
12,Florida,12043,Glades,2022,Suppressed,Unstable,1212043
12,Florida,12045,Gulf,2022,Suppressed,Unstable,1212045
12,Florida,12047,Hamilton,2022,8.4,Unstable,1212047
12,Florida,12049,Hardee,2022,Suppressed,Unstable,1212049
12,Florida,12051,Hendry,2022,4.6,,1212051
12,Florida,12053,Hernando,2022,3.2,,1212053
12,Florida,12055,Highlands,2022,3.8,,1212055
12,Florida,12057,Hillsborough,2022,4.8,,1212057
12,Florida,12059,Holmes,2022,Suppressed,Unstable,1212059
12,Florida,12061,Indian River,2022,3.5,,1212061
12,Florida,12063,Jackson,2022,1.7,Unstable,1212063
12,Florida,12065,Jefferson,2022,Suppressed,Unstable,1212065
12,Florida,12067,Lafayette,2022,Suppressed,Unstable,1212067
12,Florida,12069,Lake,2022,3.7,,1212069
12,Florida,12071,Lee,2022,4.2,,1212071
12,Florida,12073,Leon,2022,2.4,,1212073
12,Florida,12075,Levy,2022,5,,1212075
12,Florida,12077,Liberty,2022,Suppressed,Unstable,1212077
12,Florida,12079,Madison,2022,0,,1212079
12,Florida,12081,Manatee,2022,2.6,,1212081
12,Florida,12083,Marion,2022,5.1,,1212083
12,Florida,12085,Martin,2022,4.3,,1212085
12,Florida,12086,Miami-Dade,2022,4.8,,1212086
12,Florida,12087,Monroe,2022,2.4,,1212087
12,Florida,12089,Nassau,2022,2.8,,1212089
12,Florida,12091,Okaloosa,2022,2,,1212091
12,Florida,12093,Okeechobee,2022,6.4,,1212093
12,Florida,12095,Orange,2022,6.4,,1212095
12,Florida,12097,Osceola,2022,7.8,,1212097
12,Florida,12099,Palm Beach,2022,5.3,,1212099
12,Florida,12101,Pasco,2022,4.2,,1212101
12,Florida,12103,Pinellas,2022,4,,1212103
12,Florida,12105,Polk,2022,4.9,,1212105
12,Florida,12107,Putnam,2022,4.7,,1212107
12,Florida,12113,Santa Rosa,2022,2.7,,1212113
12,Florida,12115,Sarasota,2022,2.7,,1212115
12,Florida,12117,Seminole,2022,4.8,,1212117
12,Florida,12109,St. Johns,2022,3,,1212109
12,Florida,12111,St. Lucie,2022,4.8,,1212111
12,Florida,12119,Sumter,2022,2.2,Unstable,1212119
12,Florida,12121,Suwannee,2022,5.3,,1212121
12,Florida,12123,Taylor,2022,Suppressed,Unstable,1212123
12,Florida,12125,Union,2022,11.8,,1212125
12,Florida,12127,Volusia,2022,5,,1212127
12,Florida,12129,Wakulla,2022,Suppressed,Unstable,1212129
12,Florida,12131,Walton,2022,2.8,,1212131
12,Florida,12133,Washington,2022,3.3,Unstable,1212133
19,Iowa,19001,Adair,2022,0,,1919001
19,Iowa,19003,Adams,2022,0,,1919003
19,Iowa,19005,Allamakee,2022,Suppressed,Unstable,1919005
19,Iowa,19007,Appanoose,2022,Suppressed,Unstable,1919007
19,Iowa,19009,Audubon,2022,Suppressed,Unstable,1919009
19,Iowa,19011,Benton,2022,Suppressed,Unstable,1919011
19,Iowa,19013,Black Hawk,2022,2.1,,1919013
19,Iowa,19015,Boone,2022,Suppressed,Unstable,1919015
19,Iowa,19017,Bremer,2022,Suppressed,Unstable,1919017
19,Iowa,19019,Buchanan,2022,Suppressed,Unstable,1919019
19,Iowa,19021,Buena Vista,2022,Suppressed,Unstable,1919021
19,Iowa,19023,Butler,2022,Suppressed,Unstable,1919023
19,Iowa,19025,Calhoun,2022,Suppressed,Unstable,1919025
19,Iowa,19027,Carroll,2022,Suppressed,Unstable,1919027
19,Iowa,19029,Cass,2022,Suppressed,Unstable,1919029
19,Iowa,19031,Cedar,2022,Suppressed,Unstable,1919031
19,Iowa,19033,Cerro Gordo,2022,4,,1919033
19,Iowa,19035,Cherokee,2022,Suppressed,Unstable,1919035
19,Iowa,19037,Chickasaw,2022,Suppressed,Unstable,1919037
19,Iowa,19039,Clarke,2022,Suppressed,Unstable,1919039
19,Iowa,19041,Clay,2022,0,,1919041
19,Iowa,19043,Clayton,2022,Suppressed,Unstable,1919043
19,Iowa,19045,Clinton,2022,1.6,Unstable,1919045
19,Iowa,19047,Crawford,2022,0,,1919047
19,Iowa,19049,Dallas,2022,0.6,Unstable,1919049
19,Iowa,19051,Davis,2022,0,,1919051
19,Iowa,19053,Decatur,2022,Suppressed,Unstable,1919053
19,Iowa,19055,Delaware,2022,Suppressed,Unstable,1919055
19,Iowa,19057,Des Moines,2022,3.1,Unstable,1919057
19,Iowa,19059,Dickinson,2022,Suppressed,Unstable,1919059
19,Iowa,19061,Dubuque,2022,2.3,,1919061
19,Iowa,19063,Emmet,2022,Suppressed,Unstable,1919063
19,Iowa,19065,Fayette,2022,Suppressed,Unstable,1919065
19,Iowa,19067,Floyd,2022,Suppressed,Unstable,1919067
19,Iowa,19069,Franklin,2022,Suppressed,Unstable,1919069
19,Iowa,19071,Fremont,2022,Suppressed,Unstable,1919071
19,Iowa,19073,Greene,2022,0,,1919073
19,Iowa,19075,Grundy,2022,Suppressed,Unstable,1919075
19,Iowa,19077,Guthrie,2022,Suppressed,Unstable,1919077
19,Iowa,19079,Hamilton,2022,0,,1919079
19,Iowa,19081,Hancock,2022,Suppressed,Unstable,1919081
19,Iowa,19083,Hardin,2022,Suppressed,Unstable,1919083
19,Iowa,19085,Harrison,2022,0,,1919085
19,Iowa,19087,Henry,2022,Suppressed,Unstable,1919087
19,Iowa,19089,Howard,2022,Suppressed,Unstable,1919089
19,Iowa,19091,Humboldt,2022,0,,1919091
19,Iowa,19093,Ida,2022,0,,1919093
19,Iowa,19095,Iowa,2022,Suppressed,Unstable,1919095
19,Iowa,19097,Jackson,2022,Suppressed,Unstable,1919097
19,Iowa,19099,Jasper,2022,Suppressed,Unstable,1919099
19,Iowa,19101,Jefferson,2022,Suppressed,Unstable,1919101
19,Iowa,19103,Johnson,2022,1.3,,1919103
19,Iowa,19105,Jones,2022,Suppressed,Unstable,1919105
19,Iowa,19107,Keokuk,2022,Suppressed,Unstable,1919107
19,Iowa,19109,Kossuth,2022,Suppressed,Unstable,1919109
19,Iowa,19111,Lee,2022,2.4,Unstable,1919111
19,Iowa,19113,Linn,2022,2.8,,1919113
19,Iowa,19115,Louisa,2022,Suppressed,Unstable,1919115
19,Iowa,19117,Lucas,2022,Suppressed,Unstable,1919117
19,Iowa,19119,Lyon,2022,0,,1919119
19,Iowa,19121,Madison,2022,Suppressed,Unstable,1919121
19,Iowa,19123,Mahaska,2022,Suppressed,Unstable,1919123
19,Iowa,19125,Marion,2022,Suppressed,Unstable,1919125
19,Iowa,19127,Marshall,2022,Suppressed,Unstable,1919127
19,Iowa,19129,Mills,2022,0,,1919129
19,Iowa,19131,Mitchell,2022,Suppressed,Unstable,1919131
19,Iowa,19133,Monona,2022,Suppressed,Unstable,1919133
19,Iowa,19135,Monroe,2022,Suppressed,Unstable,1919135
19,Iowa,19137,Montgomery,2022,0,,1919137
19,Iowa,19139,Muscatine,2022,Suppressed,Unstable,1919139
19,Iowa,19141,O'Brien,2022,0,,1919141
19,Iowa,19143,Osceola,2022,0,,1919143
19,Iowa,19145,Page,2022,Suppressed,Unstable,1919145
19,Iowa,19147,Palo Alto,2022,0,,1919147
19,Iowa,19149,Plymouth,2022,Suppressed,Unstable,1919149
19,Iowa,19151,Pocahontas,2022,0,,1919151
19,Iowa,19153,Polk,2022,2.4,,1919153
19,Iowa,19155,Pottawattamie,2022,0.6,Unstable,1919155
19,Iowa,19157,Poweshiek,2022,Suppressed,Unstable,1919157
19,Iowa,19159,Ringgold,2022,0,,1919159
19,Iowa,19161,Sac,2022,0,,1919161
19,Iowa,19163,Scott,2022,3.2,,1919163
19,Iowa,19165,Shelby,2022,Suppressed,Unstable,1919165
19,Iowa,19167,Sioux,2022,Suppressed,Unstable,1919167
19,Iowa,19169,Story,2022,2.7,,1919169
19,Iowa,19171,Tama,2022,Suppressed,Unstable,1919171
19,Iowa,19173,Taylor,2022,0,,1919173
19,Iowa,19175,Union,2022,0,,1919175
19,Iowa,19177,Van Buren,2022,Suppressed,Unstable,1919177
19,Iowa,19179,Wapello,2022,Suppressed,Unstable,1919179
19,Iowa,19181,Warren,2022,Suppressed,Unstable,1919181
19,Iowa,19183,Washington,2022,Suppressed,Unstable,1919183
19,Iowa,19185,Wayne,2022,0,,1919185
19,Iowa,19187,Webster,2022,Suppressed,Unstable,1919187
19,Iowa,19189,Winnebago,2022,Suppressed,Unstable,1919189
19,Iowa,19191,Winneshiek,2022,Suppressed,Unstable,1919191
19,Iowa,19193,Woodbury,2022,1.2,,1919193
19,Iowa,19195,Worth,2022,Suppressed,Unstable,1919195
19,Iowa,19197,Wright,2022,Suppressed,Unstable,1919197
34,New Jersey,34001,Atlantic,2022,6.8,,3434001
34,New Jersey,34003,Bergen,2022,4.2,,3434003
34,New Jersey,34005,Burlington,2022,7.4,,3434005
34,New Jersey,34007,Camden,2022,10.6,,3434007
34,New Jersey,34009,Cape May,2022,5.7,,3434009
34,New Jersey,34011,Cumberland,2022,11.3,,3434011
34,New Jersey,34013,Essex,2022,10,,3434013
34,New Jersey,34015,Gloucester,2022,3.8,,3434015
34,New Jersey,34017,Hudson,2022,6.2,,3434017
34,New Jersey,34019,Hunterdon,2022,2.4,,3434019
34,New Jersey,34021,Mercer,2022,5.1,,3434021
34,New Jersey,34023,Middlesex,2022,5.8,,3434023
34,New Jersey,34025,Monmouth,2022,4.8,,3434025
34,New Jersey,34027,Morris,2022,3,,3434027
34,New Jersey,34029,Ocean,2022,4.1,,3434029
34,New Jersey,34031,Passaic,2022,5.7,,3434031
34,New Jersey,34033,Salem,2022,2.3,,3434033
34,New Jersey,34035,Somerset,2022,3.9,,3434035
34,New Jersey,34037,Sussex,2022,3,,3434037
34,New Jersey,34039,Union,2022,4.6,,3434039
34,New Jersey,34041,Warren,2022,3.6,,3434041
35,New Mexico,35001,Bernalillo,2022,6.2,,3535001
35,New Mexico,35003,Catron,2022,0,,3535003
35,New Mexico,35005,Chaves,2022,3.3,,3535005
35,New Mexico,35006,Cibola,2022,4.3,Unstable,3535006
35,New Mexico,35007,Colfax,2022,6.6,Unstable,3535007
35,New Mexico,35009,Curry,2022,7.4,,3535009
35,New Mexico,35011,De Baca,2022,Suppressed,Unstable,3535011
35,New Mexico,35013,Dona Ana,2022,3.7,,3535013
35,New Mexico,35015,Eddy,2022,3.1,,3535015
35,New Mexico,35017,Grant,2022,7.6,,3535017
35,New Mexico,35019,Guadalupe,2022,0,,3535019
35,New Mexico,35021,Harding,2022,0,,3535021
35,New Mexico,35023,Hidalgo,2022,0,,3535023
35,New Mexico,35025,Lea,2022,1.7,,3535025
35,New Mexico,35027,Lincoln,2022,3.3,Unstable,3535027
35,New Mexico,35028,Los Alamos,2022,Suppressed,Unstable,3535028
35,New Mexico,35029,Luna,2022,3.1,Unstable,3535029
35,New Mexico,35031,McKinley,2022,2.7,,3535031
35,New Mexico,35033,Mora,2022,Suppressed,Unstable,3535033
35,New Mexico,35035,Otero,2022,3.4,,3535035
35,New Mexico,35037,Quay,2022,Suppressed,Unstable,3535037
35,New Mexico,35039,Rio Arriba,2022,4.8,,3535039
35,New Mexico,35041,Roosevelt,2022,Suppressed,Unstable,3535041
35,New Mexico,35045,San Juan,2022,4.7,,3535045
35,New Mexico,35047,San Miguel,2022,7.5,,3535047
35,New Mexico,35043,Sandoval,2022,6.4,,3535043
35,New Mexico,35049,Santa Fe,2022,4.5,,3535049
35,New Mexico,35051,Sierra,2022,Suppressed,Unstable,3535051
35,New Mexico,35053,Socorro,2022,8.2,Unstable,3535053
35,New Mexico,35055,Taos,2022,7.7,,3535055
35,New Mexico,35057,Torrance,2022,7.7,Unstable,3535057
35,New Mexico,35059,Union,2022,0,,3535059
35,New Mexico,35061,Valencia,2022,5.5,,3535061
36,New York,36001,Albany,2022,6.1,,3636001
36,New York,36003,Allegany,2022,2.8,Unstable,3636003
36,New York,36005,Bronx,2022,28.4,,3636005
36,New York,36007,Broome,2022,5,,3636007
36,New York,36009,Cattaraugus,2022,3.1,,3636009
36,New York,36011,Cayuga,2022,3.2,,3636011
36,New York,36013,Chautauqua,2022,2.4,,3636013
36,New York,36015,Chemung,2022,5.8,,3636015
36,New York,36017,Chenango,2022,3.6,,3636017
36,New York,36019,Clinton,2022,1.5,,3636019
36,New York,36021,Columbia,2022,3.9,,3636021
36,New York,36023,Cortland,2022,5.1,,3636023
36,New York,36025,Delaware,2022,4.5,,3636025
36,New York,36027,Dutchess,2022,7.1,,3636027
36,New York,36029,Erie,2022,6.1,,3636029
36,New York,36031,Essex,2022,2.1,Unstable,3636031
36,New York,36033,Franklin,2022,3.4,,3636033
36,New York,36035,Fulton,2022,2.3,Unstable,3636035
36,New York,36037,Genesee,2022,2.5,,3636037
36,New York,36039,Greene,2022,2.8,Unstable,3636039
36,New York,36041,Hamilton,2022,0,,3636041
36,New York,36043,Herkimer,2022,1.9,Unstable,3636043
36,New York,36045,Jefferson,2022,3.5,,3636045
36,New York,36047,Kings,2022,9.3,,3636047
36,New York,36049,Lewis,2022,Suppressed,Unstable,3636049
36,New York,36051,Livingston,2022,3.2,,3636051
36,New York,36053,Madison,2022,1.1,Unstable,3636053
36,New York,36055,Monroe,2022,8.1,,3636055
36,New York,36057,Montgomery,2022,5.4,,3636057
36,New York,36059,Nassau,2022,6.8,,3636059
36,New York,36061,New York,2022,11.4,,3636061
36,New York,36063,Niagara,2022,4.7,,3636063
36,New York,36065,Oneida,2022,3.5,,3636065
36,New York,36067,Onondaga,2022,5.2,,3636067
36,New York,36069,Ontario,2022,2.2,,3636069
36,New York,36071,Orange,2022,6.4,,3636071
36,New York,36073,Orleans,2022,3.5,Unstable,3636073
36,New York,36075,Oswego,2022,3,,3636075
36,New York,36077,Otsego,2022,2.3,Unstable,3636077
36,New York,36079,Putnam,2022,4.4,,3636079
36,New York,36081,Queens,2022,8.3,,3636081
36,New York,36083,Rensselaer,2022,4.4,,3636083
36,New York,36085,Richmond,2022,8.6,,3636085
36,New York,36087,Rockland,2022,4,,3636087
36,New York,36091,Saratoga,2022,3.3,,3636091
36,New York,36093,Schenectady,2022,6.1,,3636093
36,New York,36095,Schoharie,2022,Suppressed,Unstable,3636095
36,New York,36097,Schuyler,2022,Suppressed,Unstable,3636097
36,New York,36099,Seneca,2022,4,Unstable,3636099
36,New York,36089,St. Lawrence,2022,2.6,,3636089
36,New York,36101,Steuben,2022,3.8,,3636101
36,New York,36103,Suffolk,2022,5.5,,3636103
36,New York,36105,Sullivan,2022,6.7,,3636105
36,New York,36107,Tioga,2022,2.8,Unstable,3636107
36,New York,36109,Tompkins,2022,3.5,,3636109
36,New York,36111,Ulster,2022,5.3,,3636111
36,New York,36113,Warren,2022,4.4,,3636113
36,New York,36115,Washington,2022,4.7,,3636115
36,New York,36117,Wayne,2022,3.6,,3636117
36,New York,36119,Westchester,2022,7.6,,3636119
36,New York,36121,Wyoming,2022,Suppressed,Unstable,3636121
36,New York,36123,Yates,2022,Suppressed,Unstable,3636123
37,North Carolina,37001,Alamance,2022,4.2,,3737001
37,North Carolina,37003,Alexander,2022,2.3,Unstable,3737003
37,North Carolina,37005,Alleghany,2022,Suppressed,Unstable,3737005
37,North Carolina,37007,Anson,2022,7.4,,3737007
37,North Carolina,37009,Ashe,2022,Suppressed,Unstable,3737009
37,North Carolina,37011,Avery,2022,Suppressed,Unstable,3737011
37,North Carolina,37013,Beaufort,2022,4.1,,3737013
37,North Carolina,37015,Bertie,2022,5.4,Unstable,3737015
37,North Carolina,37017,Bladen,2022,6.2,,3737017
37,North Carolina,37019,Brunswick,2022,1.7,,3737019
37,North Carolina,37021,Buncombe,2022,1.4,,3737021
37,North Carolina,37023,Burke,2022,1.6,Unstable,3737023
37,North Carolina,37025,Cabarrus,2022,3.5,,3737025
37,North Carolina,37027,Caldwell,2022,4.6,,3737027
37,North Carolina,37029,Camden,2022,Suppressed,Unstable,3737029
37,North Carolina,37031,Carteret,2022,2.7,,3737031
37,North Carolina,37033,Caswell,2022,Suppressed,Unstable,3737033
37,North Carolina,37035,Catawba,2022,1.9,,3737035
37,North Carolina,37037,Chatham,2022,2.1,,3737037
37,North Carolina,37039,Cherokee,2022,Suppressed,Unstable,3737039
37,North Carolina,37041,Chowan,2022,Suppressed,Unstable,3737041
37,North Carolina,37043,Clay,2022,0,,3737043
37,North Carolina,37045,Cleveland,2022,5.2,,3737045
37,North Carolina,37047,Columbus,2022,3.1,,3737047
37,North Carolina,37049,Craven,2022,3.1,,3737049
37,North Carolina,37051,Cumberland,2022,5.2,,3737051
37,North Carolina,37053,Currituck,2022,Suppressed,Unstable,3737053
37,North Carolina,37055,Dare,2022,Suppressed,Unstable,3737055
37,North Carolina,37057,Davidson,2022,2.5,,3737057
37,North Carolina,37059,Davie,2022,3.2,Unstable,3737059
37,North Carolina,37061,Duplin,2022,3.8,,3737061
37,North Carolina,37063,Durham,2022,4.8,,3737063
37,North Carolina,37065,Edgecombe,2022,8,,3737065
37,North Carolina,37067,Forsyth,2022,3.8,,3737067
37,North Carolina,37069,Franklin,2022,5.1,,3737069
37,North Carolina,37071,Gaston,2022,4.4,,3737071
37,North Carolina,37073,Gates,2022,0,,3737073
37,North Carolina,37075,Graham,2022,0,,3737075
37,North Carolina,37077,Granville,2022,5,,3737077
37,North Carolina,37079,Greene,2022,7.2,,3737079
37,North Carolina,37081,Guilford,2022,4.7,,3737081
37,North Carolina,37083,Halifax,2022,7.5,,3737083
37,North Carolina,37085,Harnett,2022,3,,3737085
37,North Carolina,37087,Haywood,2022,2.5,,3737087
37,North Carolina,37089,Henderson,2022,2.4,,3737089
37,North Carolina,37091,Hertford,2022,6,Unstable,3737091
37,North Carolina,37093,Hoke,2022,3.6,,3737093
37,North Carolina,37095,Hyde,2022,Suppressed,Unstable,3737095
37,North Carolina,37097,Iredell,2022,2.5,,3737097
37,North Carolina,37099,Jackson,2022,2.6,Unstable,3737099
37,North Carolina,37101,Johnston,2022,2.8,,3737101
37,North Carolina,37103,Jones,2022,Suppressed,Unstable,3737103
37,North Carolina,37105,Lee,2022,1.9,,3737105
37,North Carolina,37107,Lenoir,2022,2.8,,3737107
37,North Carolina,37109,Lincoln,2022,3.8,,3737109
37,North Carolina,37113,Macon,2022,Suppressed,Unstable,3737113
37,North Carolina,37115,Madison,2022,Suppressed,Unstable,3737115
37,North Carolina,37117,Martin,2022,6.8,,3737117
37,North Carolina,37111,McDowell,2022,Suppressed,Unstable,3737111
37,North Carolina,37119,Mecklenburg,2022,5.1,,3737119
37,North Carolina,37121,Mitchell,2022,Suppressed,Unstable,3737121
37,North Carolina,37123,Montgomery,2022,4,Unstable,3737123
37,North Carolina,37125,Moore,2022,1.6,,3737125
37,North Carolina,37127,Nash,2022,6.7,,3737127
37,North Carolina,37129,New Hanover,2022,2,,3737129
37,North Carolina,37131,Northampton,2022,8.2,Unstable,3737131
37,North Carolina,37133,Onslow,2022,1.3,,3737133
37,North Carolina,37135,Orange,2022,2.5,,3737135
37,North Carolina,37137,Pamlico,2022,Suppressed,Unstable,3737137
37,North Carolina,37139,Pasquotank,2022,2.3,Unstable,3737139
37,North Carolina,37141,Pender,2022,2.3,,3737141
37,North Carolina,37143,Perquimans,2022,Suppressed,Unstable,3737143
37,North Carolina,37145,Person,2022,4,,3737145
37,North Carolina,37147,Pitt,2022,7.1,,3737147
37,North Carolina,37149,Polk,2022,0,,3737149
37,North Carolina,37151,Randolph,2022,2.7,,3737151
37,North Carolina,37153,Richmond,2022,3.3,,3737153
37,North Carolina,37155,Robeson,2022,10.6,,3737155
37,North Carolina,37157,Rockingham,2022,3.9,,3737157
37,North Carolina,37159,Rowan,2022,3.8,,3737159
37,North Carolina,37161,Rutherford,2022,3.4,,3737161
37,North Carolina,37163,Sampson,2022,3.7,,3737163
37,North Carolina,37165,Scotland,2022,7.8,,3737165
37,North Carolina,37167,Stanly,2022,4.5,,3737167
37,North Carolina,37169,Stokes,2022,3.6,,3737169
37,North Carolina,37171,Surry,2022,1.5,Unstable,3737171
37,North Carolina,37173,Swain,2022,Suppressed,Unstable,3737173
37,North Carolina,37175,Transylvania,2022,2.9,Unstable,3737175
37,North Carolina,37177,Tyrrell,2022,Suppressed,Unstable,3737177
37,North Carolina,37179,Union,2022,3.5,,3737179
37,North Carolina,37181,Vance,2022,7,,3737181
37,North Carolina,37183,Wake,2022,3.5,,3737183
37,North Carolina,37185,Warren,2022,6.2,Unstable,3737185
37,North Carolina,37187,Washington,2022,Suppressed,Unstable,3737187
37,North Carolina,37189,Watauga,2022,1.5,Unstable,3737189
37,North Carolina,37191,Wayne,2022,3.6,,3737191
37,North Carolina,37193,Wilkes,2022,2.6,,3737193
37,North Carolina,37195,Wilson,2022,2.8,,3737195
37,North Carolina,37197,Yadkin,2022,1.9,Unstable,3737197
37,North Carolina,37199,Yancey,2022,0,,3737199
41,Oregon,41001,Baker,2022,4.2,Unstable,4141001
41,Oregon,41003,Benton,2022,Suppressed,Unstable,4141003
41,Oregon,41005,Clackamas,2022,2.4,,4141005
41,Oregon,41007,Clatsop,2022,Suppressed,Unstable,4141007
41,Oregon,41009,Columbia,2022,4.3,,4141009
41,Oregon,41011,Coos,2022,2.6,,4141011
41,Oregon,41013,Crook,2022,Suppressed,Unstable,4141013
41,Oregon,41015,Curry,2022,Suppressed,Unstable,4141015
41,Oregon,41017,Deschutes,2022,2.9,,4141017
41,Oregon,41019,Douglas,2022,1.7,,4141019
